Date,Price
2010-01-12,12904.25
2010-02-12,6815.67999999996
2010-03-12,11114.0900000001
2010-05-12,7893.16999999996
2010-06-12,17678.7800000004
2010-07-12,85152.090000001
2010-08-12,9978.06000000007
2010-09-12,14662.63
2010-10-12,12825.06
2010-12-12,3966.22999999997
2010-12-13,12388.2700000001
2010-12-14,8257.35999999999
2010-12-15,4819.30999999996
2010-12-16,5954.71999999996
2010-12-17,18131.2099999999
2010-12-19,1640.19
2010-12-20,8081.78999999998
2010-12-21,12393.3399999999
2010-12-22,1962.44
2010-12-23,3902.17999999999
2011-01-02,5561.45999999996
2011-01-03,7259.87999999999
2011-01-04,4684.34999999999
2011-01-05,1298.41
2011-01-06,5831.20000000002
2011-01-07,3570.59999999999
2011-01-08,4374.53999999999
2011-01-09,3538.22999999998
2011-01-11,5220.53999999996
2011-01-12,10330.46
2011-01-13,5666.01999999999
2011-01-14,6553.23999999999
2011-01-16,1854.50000000001
2011-01-17,9782.29999999993
2011-01-18,6445.36000000002
2011-01-19,4739.15000000001
2011-01-20,8156.25999999998
2011-01-21,6757.13000000001
2011-01-23,2611.96
2011-01-24,6682.30999999997
2011-01-25,6644.01999999996
2011-01-26,5233.18999999999
2011-01-27,7552.49999999996
2011-01-28,3995.68
2011-01-30,2321.72
2011-01-31,6190.12999999997
2011-02-02,5978.85
2011-02-03,3467.05999999998
2011-02-06,7065.05999999997
2011-02-08,16374.7599999999
2011-02-09,10831.84
2011-02-10,3742.42999999998
2011-02-11,9318.44
2011-02-12,10352.0399999999
2011-02-13,1859.36000000001
2011-02-14,4374.68999999999
2011-02-15,7385.13
2011-02-16,3905.52
2011-02-17,7810.66000000001
2011-02-18,3084.85000000001
2011-02-20,2721.29
2011-02-21,17596.6700000001
2011-02-22,5573.03999999999
2011-02-23,7190.03999999999
2011-02-24,5068.52999999998
2011-02-25,3507.94000000001
2011-02-27,2449.63
2011-02-28,7995.39999999997
2011-03-02,3817.54999999998
2011-03-03,5659.08999999997
2011-03-04,1788.16000000001
2011-03-05,28575.5900000002
2011-03-06,3258.41000000001
2011-03-07,1793.98000000001
2011-03-08,4964.92999999999
2011-03-10,12685.8499999999
